Date,AAPL,GOOGL,AMZN
8/2/2016,98.761139,800.119995,760.580017
8/3/2016,99.999428,798.919983,754.640015
8/4/2016,100.617188,797.25,760.77002
8/5/2016,102.147301,806.929993,765.97998
8/8/2016,102.993134,805.22998,766.559998
8/9/2016,103.411293,807.47998,768.309998
8/10/2016,102.641495,808.48999,768.559998
8/11/2016,102.574959,808.200012,771.23999
8/12/2016,102.812553,807.049988,772.559998
8/15/2016,104.048073,805.960022,768.48999
8/16/2016,103.953026,801.190002,764.039978
8/17/2016,103.800949,805.419983,764.630005
8/18/2016,103.667908,802.75,764.460022
8/19/2016,103.934013,799.650024,757.309998
8/22/2016,103.126198,796.950012,759.47998
8/23/2016,103.449318,796.590027,762.450012
8/24/2016,102.670006,793.599976,757.25
8/25/2016,102.232841,791.299988,759.219971
8/26/2016,101.634079,793.219971,769
8/29/2016,101.520035,795.820007,771.289978
8/30/2016,100.740738,791.919983,767.580017
8/31/2016,100.835762,789.849976,769.159973
9/1/2016,101.434509,791.400024,770.619995
9/2/2016,102.384895,796.869995,772.440002
9/6/2016,102.356369,808.02002,788.869995
9/7/2016,102.983627,807.98999,784.47998
9/8/2016,100.284531,802.840027,784.059998
9/9/2016,98.013115,788.47998,760.140015
9/12/2016,100.208519,798.820007,771.48999
9/13/2016,102.593964,788.719971,761.01001
9/14/2016,106.224449,790.460022,761.090027
9/15/2016,109.835899,801.22998,769.690002
9/16/2016,109.218155,797.969971,778.52002
9/19/2016,107.944641,795.390015,775.099976
9/20/2016,107.935127,799.780029,780.219971
9/21/2016,107.916115,805.030029,789.73999
9/22/2016,108.933044,815.950012,804.700012
9/23/2016,107.117805,814.960022,805.75
9/26/2016,107.279366,802.650024,799.159973
9/27/2016,107.478943,810.72998,816.109985
9/28/2016,108.29628,810.059998,828.719971
9/29/2016,106.614113,802.640015,829.049988
9/30/2016,107.440933,804.059998,837.309998
10/3/2016,106.93721,800.380005,836.73999
10/4/2016,107.39341,802.789978,834.030029
10/5/2016,107.440933,801.22998,844.359985
10/6/2016,108.23925,803.080017,841.659973
10/7/2016,108.400818,800.710022,839.429993
10/10/2016,110.292084,814.169983,841.710022
10/11/2016,110.529694,809.570007,831
10/12/2016,111.518074,811.77002,834.090027
10/13/2016,111.175941,804.080017,829.280029
10/14/2016,111.793686,804.599976,822.960022
10/17/2016,111.717659,806.840027,812.950012
10/18/2016,111.641632,821.48999,817.650024
